rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,TANGSUT Sittichai,THA,"Born: May 19, 2001",B.weight: 68.33,Group: A,1: 140,2: 145,3: -155,Total: 145,69kgMen,CleanJerk,440
Rank: ---,CABALA Sebastian,SVK,"Born: Oct 07, 2002",B.weight: 68.51,Group: A,1: 138,2: -143,3: 148,Total: 148,69kgMen,CleanJerk,440
Rank: ---,MALAKMADZE Archil,GEO,"Born: Apr 30, 2001",B.weight: 68.70,Group: A,1: 150,2: 154,3: -157,Total: 154,69kgMen,CleanJerk,440
Rank: ---,CANUL FACUNDO Mauricio Cristofer,MEX,"Born: Sep 28, 2001",B.weight: 68.33,Group: A,1: 154,2: 156,3: -160,Total: 156,69kgMen,CleanJerk,440
Rank: ---,SMITH Jerome Anthony,USA,"Born: Feb 04, 2001",B.weight: 68.91,Group: A,1: 150,2: 155,3: -158,Total: 155,69kgMen,CleanJerk,440
Rank: ---,OZBEK Muhammed Furkan,TUR,"Born: Jan 24, 2001",B.weight: 68.78,Group: A,1: 158,2: 165,3: 170,Total: 170,69kgMen,CleanJerk,440
Rank: 1,OZBEK Muhammed Furkan,TUR,"Born: Jan 24, 2001",B.weight: 68.78,Group: A,Snatch: 135,CI&Jerk: 170,Total: 305,,69kgMen,Total,440
Rank: 2,MALAKMADZE Archil,GEO,"Born: Apr 30, 2001",B.weight: 68.70,Group: A,Snatch: 134,CI&Jerk: 154,Total: 288,,69kgMen,Total,440
Rank: 3,CANUL FACUNDO Mauricio Cristofer,MEX,"Born: Sep 28, 2001",B.weight: 68.33,Group: A,Snatch: 127,CI&Jerk: 156,Total: 283,,69kgMen,Total,440
Rank: 4,SMITH Jerome Anthony,USA,"Born: Feb 04, 2001",B.weight: 68.91,Group: A,Snatch: 127,CI&Jerk: 155,Total: 282,,69kgMen,Total,440
Rank: 5,TANGSUT Sittichai,THA,"Born: May 19, 2001",B.weight: 68.33,Group: A,Snatch: 120,CI&Jerk: 145,Total: 265,,69kgMen,Total,440
Rank: 6,CABALA Sebastian,SVK,"Born: Oct 07, 2002",B.weight: 68.51,Group: A,Snatch: 107,CI&Jerk: 148,Total: 255,,69kgMen,Total,440
Rank: ---,VILLEGAS FERNANDEZ Santiago Daniel,PER,"Born: Jun 17, 2001",B.weight: 74.24,Group: A,1: 115,2: -120,3: 120,Total: 120,77kgMen,Snatch,440
Rank: ---,ZILINSKAS Zilvinas,LTU,"Born: Nov 02, 2001",B.weight: 72.09,Group: A,1: 105,2: 109,3: -113,Total: 109,77kgMen,Snatch,440
Rank: ---,PRETORIUS Jayden Dylon,RSA,"Born: Jan 14, 2002",B.weight: 73.08,Group: A,1: 95,2: 102,3: 112,Total: 112,77kgMen,Snatch,440
Rank: ---,MARGARYAN Karen,ARM,"Born: Apr 26, 2001",B.weight: 76.91,Group: A,1: 137,2: 141,3: -145,Total: 141,77kgMen,Snatch,440
Rank: ---,NGAINA II Hermann Junior,CMR,"Born: Aug 25, 2001",B.weight: 76.44,Group: A,1: 105,2: 120,3: -125,Total: 120,77kgMen,Snatch,440
Rank: ---,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 75.73,Group: A,1: 134,2: -138,3: 140,Total: 140,77kgMen,Snatch,440
Rank: ---,ALQASIMI Mohammed Muntasir Khaled S,UAE,"Born: Nov 07, 2002",B.weight: 75.12,Group: A,1: -80,2: 80,3: 85,Total: 85,77kgMen,Snatch,440
Rank: ---,MOSTAFA Abdalla Galal Mohamed,EGY,"Born: Apr 23, 2001",B.weight: 76.68,Group: A,1: 125,2: -135,3: -135,Total: 125,77kgMen,Snatch,440
Rank: ---,FETAOVSKI Bleron,KOS,"Born: Jun 02, 2001",B.weight: 75.37,Group: A,1: 80,2: 85,3: 87,Total: 87,77kgMen,Snatch,440
Rank: ---,VILLEGAS FERNANDEZ Santiago Daniel,PER,"Born: Jun 17, 2001",B.weight: 74.24,Group: A,1: 150,2: 154,3: -161,Total: 154,77kgMen,CleanJerk,440
Rank: ---,ZILINSKAS Zilvinas,LTU,"Born: Nov 02, 2001",B.weight: 72.09,Group: A,1: 125,2: 130,3: -137,Total: 130,77kgMen,CleanJerk,440
Rank: ---,PRETORIUS Jayden Dylon,RSA,"Born: Jan 14, 2002",B.weight: 73.08,Group: A,1: 126,2: 133,3: -142,Total: 133,77kgMen,CleanJerk,440
Rank: ---,MARGARYAN Karen,ARM,"Born: Apr 26, 2001",B.weight: 76.91,Group: A,1: 160,2: 164,3: 168,Total: 168,77kgMen,CleanJerk,440
Rank: ---,NGAINA II Hermann Junior,CMR,"Born: Aug 25, 2001",B.weight: 76.44,Group: A,1: 143,2: -152,3: -155,Total: 143,77kgMen,CleanJerk,440
Rank: ---,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 75.73,Group: A,1: 156,2: 162,3: 168,Total: 168,77kgMen,CleanJerk,440
Rank: ---,ALQASIMI Mohammed Muntasir Khaled S,UAE,"Born: Nov 07, 2002",B.weight: 75.12,Group: A,1: 100,2: -104,3: 106,Total: 106,77kgMen,CleanJerk,440
Rank: ---,MOSTAFA Abdalla Galal Mohamed,EGY,"Born: Apr 23, 2001",B.weight: 76.68,Group: A,1: 155,2: 165,3: 170,Total: 170,77kgMen,CleanJerk,440
Rank: ---,FETAOVSKI Bleron,KOS,"Born: Jun 02, 2001",B.weight: 75.37,Group: A,1: 100,2: 103,3: -105,Total: 103,77kgMen,CleanJerk,440
Rank: 1,MARGARYAN Karen,ARM,"Born: Apr 26, 2001",B.weight: 76.91,Group: A,Snatch: 141,CI&Jerk: 168,Total: 309,,77kgMen,Total,440
Rank: 2,TOSHTEMIROV Mukhammadkodir,UZB,"Born: Sep 17, 2001",B.weight: 75.73,Group: A,Snatch: 140,CI&Jerk: 168,Total: 308,,77kgMen,Total,440
Rank: 3,MOSTAFA Abdalla Galal Mohamed,EGY,"Born: Apr 23, 2001",B.weight: 76.68,Group: A,Snatch: 125,CI&Jerk: 170,Total: 295,,77kgMen,Total,440
Rank: 4,VILLEGAS FERNANDEZ Santiago Daniel,PER,"Born: Jun 17, 2001",B.weight: 74.24,Group: A,Snatch: 120,CI&Jerk: 154,Total: 274,,77kgMen,Total,440
Rank: 5,NGAINA II Hermann Junior,CMR,"Born: Aug 25, 2001",B.weight: 76.44,Group: A,Snatch: 120,CI&Jerk: 143,Total: 263,,77kgMen,Total,440
Rank: 6,PRETORIUS Jayden Dylon,RSA,"Born: Jan 14, 2002",B.weight: 73.08,Group: A,Snatch: 112,CI&Jerk: 133,Total: 245,,77kgMen,Total,440
Rank: 7,ZILINSKAS Zilvinas,LTU,"Born: Nov 02, 2001",B.weight: 72.09,Group: A,Snatch: 109,CI&Jerk: 130,Total: 239,,77kgMen,Total,440
Rank: 8,ALQASIMI Mohammed Muntasir Khaled S,UAE,"Born: Nov 07, 2002",B.weight: 75.12,Group: A,Snatch: 85,CI&Jerk: 106,Total: 191,,77kgMen,Total,440
Rank: 9,FETAOVSKI Bleron,KOS,"Born: Jun 02, 2001",B.weight: 75.37,Group: A,Snatch: 87,CI&Jerk: 103,Total: 190,,77kgMen,Total,440
Rank: ---,ALOTHMAN Ali Yousef A,KSA,"Born: Jun 16, 2002",B.weight: 84.16,Group: A,1: 130,2: -135,3: -135,Total: 130,85kgMen,Snatch,440
Rank: ---,ASKARIDOUN Amirreza,IRI,"Born: Dec 12, 2001",B.weight: 84.65,Group: A,1: -128,2: 128,3: 133,Total: 133,85kgMen,Snatch,440
Rank: ---,FICCO Cristiano Giuseppe,ITA,"Born: Apr 05, 2001",B.weight: 84.72,Group: A,1: 145,2: -150,3: -150,Total: 145,85kgMen,Snatch,440
Rank: ---,CUEVAS IBORRA Nicolas Rodrigo,CHI,"Born: Mar 24, 2002",B.weight: 84.32,Group: A,1: 118,2: 124,3: -129,Total: 124,85kgMen,Snatch,440
Rank: ---,BABAYEV Tarmenkhan,AZE,"Born: Jan 08, 2002",B.weight: 84.67,Group: A,1: 137,2: 142,3: -146,Total: 142,85kgMen,Snatch,440
Rank: ---,GALIATSATOS Gerasimos,GRE,"Born: Jul 03, 2001",B.weight: 84.71,Group: A,1: -150,2: -150,3: -150,Total: ---,85kgMen,Snatch,440
Rank: ---,AMJAD Farhan,PAK,"Born: Feb 20, 2001",B.weight: 81.13,Group: A,1: 113,2: -116,3: -116,Total: 113,85kgMen,Snatch,440
Rank: ---,ALOTHMAN Ali Yousef A,KSA,"Born: Jun 16, 2002",B.weight: 84.16,Group: A,1: 163,2: 169,3: -173,Total: 169,85kgMen,CleanJerk,440
Rank: ---,ASKARIDOUN Amirreza,IRI,"Born: Dec 12, 2001",B.weight: 84.65,Group: A,1: -159,2: 159,3: 165,Total: 165,85kgMen,CleanJerk,440
Rank: ---,FICCO Cristiano Giuseppe,ITA,"Born: Apr 05, 2001",B.weight: 84.72,Group: A,1: 170,2: 174,3: 180,Total: 180,85kgMen,CleanJerk,440
Rank: ---,CUEVAS IBORRA Nicolas Rodrigo,CHI,"Born: Mar 24, 2002",B.weight: 84.32,Group: A,1: 140,2: 145,3: -155,Total: 145,85kgMen,CleanJerk,440
Rank: ---,BABAYEV Tarmenkhan,AZE,"Born: Jan 08, 2002",B.weight: 84.67,Group: A,1: 160,2: 174,3: -178,Total: 174,85kgMen,CleanJerk,440
Rank: ---,GALIATSATOS Gerasimos,GRE,"Born: Jul 03, 2001",B.weight: 84.71,Group: A,1: ---,2: ---,3: ---,Total: ---,85kgMen,CleanJerk,440
Rank: ---,AMJAD Farhan,PAK,"Born: Feb 20, 2001",B.weight: 81.13,Group: A,1: 140,2: -147,3: -147,Total: 140,85kgMen,CleanJerk,440
Rank: 1,FICCO Cristiano Giuseppe,ITA,"Born: Apr 05, 2001",B.weight: 84.72,Group: A,Snatch: 145,CI&Jerk: 180,Total: 325,,85kgMen,Total,440
Rank: 2,BABAYEV Tarmenkhan,AZE,"Born: Jan 08, 2002",B.weight: 84.67,Group: A,Snatch: 142,CI&Jerk: 174,Total: 316,,85kgMen,Total,440
Rank: 3,ALOTHMAN Ali Yousef A,KSA,"Born: Jun 16, 2002",B.weight: 84.16,Group: A,Snatch: 130,CI&Jerk: 169,Total: 299,,85kgMen,Total,440
Rank: 4,ASKARIDOUN Amirreza,IRI,"Born: Dec 12, 2001",B.weight: 84.65,Group: A,Snatch: 133,CI&Jerk: 165,Total: 298,,85kgMen,Total,440
Rank: 5,CUEVAS IBORRA Nicolas Rodrigo,CHI,"Born: Mar 24, 2002",B.weight: 84.32,Group: A,Snatch: 124,CI&Jerk: 145,Total: 269,,85kgMen,Total,440
Rank: 6,AMJAD Farhan,PAK,"Born: Feb 20, 2001",B.weight: 81.13,Group: A,Snatch: 113,CI&Jerk: 140,Total: 253,,85kgMen,Total,440
Rank: ---,GALIATSATOS Gerasimos,GRE,"Born: Jul 03, 2001",B.weight: 84.71,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,85kgMen,Total,440
Rank: ---,ZIELINSKI Jakub,POL,"Born: Jun 17, 2001",B.weight: 119.40,Group: A,1: 135,2: 140,3: -145,Total: 140,+85kgMen,Snatch,440
Rank: ---,SAADI Farid,ALG,"Born: Sep 28, 2001",B.weight: 99.08,Group: A,1: 132,2: 138,3: -143,Total: 138,+85kgMen,Snatch,440
Rank: ---,YOUSEFI Alireza,IRI,"Born: Aug 27, 2003",B.weight: 163.22,Group: A,1: 150,2: 156,3: 162,Total: 162,+85kgMen,Snatch,440
Rank: ---,ESCUDERO NAJERA Carlos Emilio,ECU,"Born: Nov 16, 2001",B.weight: 131.03,Group: A,1: 140,2: 145,3: 150,Total: 150,+85kgMen,Snatch,440
Rank: ---,BAEZ MOYENO Delvin Rocco,PUR,"Born: Feb 22, 2001",B.weight: 128.02,Group: A,1: -110,2: -110,3: 110,Total: 110,+85kgMen,Snatch,440
Rank: ---,KUWORGE Enzo Kofi,NED,"Born: Aug 31, 2001",B.weight: 141.10,Group: A,1: 155,2: 159,3: 162,Total: 162,+85kgMen,Snatch,440
Rank: ---,HRISTOV Hristo Dimitrov,BUL,"Born: Apr 27, 2001",B.weight: 112.42,Group: A,1: 165,2: 170,3: 173,Total: 173,+85kgMen,Snatch,440
Rank: ---,ZIELINSKI Jakub,POL,"Born: Jun 17, 2001",B.weight: 119.40,Group: A,1: 168,2: 173,3: -178,Total: 173,+85kgMen,CleanJerk,440
Rank: ---,SAADI Farid,ALG,"Born: Sep 28, 2001",B.weight: 99.08,Group: A,1: 161,2: 170,3: -173,Total: 170,+85kgMen,CleanJerk,440
Rank: ---,YOUSEFI Alireza,IRI,"Born: Aug 27, 2003",B.weight: 163.22,Group: A,1: 202,2: 211,3: 218,Total: 218,+85kgMen,CleanJerk,440
Rank: ---,ESCUDERO NAJERA Carlos Emilio,ECU,"Born: Nov 16, 2001",B.weight: 131.03,Group: A,1: 170,2: -175,3: 175,Total: 175,+85kgMen,CleanJerk,440
Rank: ---,BAEZ MOYENO Delvin Rocco,PUR,"Born: Feb 22, 2001",B.weight: 128.02,Group: A,1: 135,2: -140,3: -140,Total: 135,+85kgMen,CleanJerk,440
Rank: ---,KUWORGE Enzo Kofi,NED,"Born: Aug 31, 2001",B.weight: 141.10,Group: A,1: 195,2: 203,3: -210,Total: 203,+85kgMen,CleanJerk,440
Rank: ---,HRISTOV Hristo Dimitrov,BUL,"Born: Apr 27, 2001",B.weight: 112.42,Group: A,1: 196,2: 202,3: 206,Total: 206,+85kgMen,CleanJerk,440
Rank: 1,YOUSEFI Alireza,IRI,"Born: Aug 27, 2003",B.weight: 163.22,Group: A,Snatch: 162,CI&Jerk: 218,Total: 380,,+85kgMen,Total,440
Rank: 2,HRISTOV Hristo Dimitrov,BUL,"Born: Apr 27, 2001",B.weight: 112.42,Group: A,Snatch: 173,CI&Jerk: 206,Total: 379,,+85kgMen,Total,440
Rank: 3,KUWORGE Enzo Kofi,NED,"Born: Aug 31, 2001",B.weight: 141.10,Group: A,Snatch: 162,CI&Jerk: 203,Total: 365,,+85kgMen,Total,440
Rank: 4,ESCUDERO NAJERA Carlos Emilio,ECU,"Born: Nov 16, 2001",B.weight: 131.03,Group: A,Snatch: 150,CI&Jerk: 175,Total: 325,,+85kgMen,Total,440
